1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.898453		  0.380911		  0.607488		  0.413949		  0.566176		  0.315026		  0.468750
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.685694		  0.627469		  0.745471		  0.487783		  0.601716		  0.395646		  0.516544
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.614644		  0.710027		  0.812198		  0.525139		  0.631127		  0.402563		  0.492647
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.554280		  0.785052		  0.873188		  0.589491		  0.687500		  0.390258		  0.474265
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.526872		  0.816449		  0.890700		  0.603255		  0.687500		  0.460875		  0.545956
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.516220		  0.830014		  0.894324		  0.586513		  0.659314		  0.467645		  0.544118
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.491845		  0.859458		  0.913345		  0.600256		  0.665441		  0.473867		  0.555147
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.491925		  0.858557		  0.910024		  0.596723		  0.655637		  0.503840		  0.568015
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.579977		  0.757734		  0.815519		  0.793087		  0.855392		  0.451126		  0.514706
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.491179		  0.859814		  0.906401		  0.813244		  0.866422		  0.458095		  0.516544
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.476451		  0.878470		  0.923007		  0.793208		  0.844363		  0.490895		  0.553309
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.529389		  0.815068		  0.865338		  0.824836		  0.872549		  0.447236		  0.503676
13		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.496477		  0.853130		  0.895531		  0.836754		  0.882353		  0.453424		  0.520221
14		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.478217		  0.874386		  0.915761		  0.838005		  0.884804		  0.481240		  0.551471
