1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.450808		  0.774266		  0.844666		  0.998600		  1.000000		  0.998127		  1.000000
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.281096		  0.960211		  0.978952		  0.999244		  0.999679		  0.999305		  0.999679
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.267795		  0.975766		  0.986391		  0.994249		  0.996154		  0.994016		  0.995833
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.262426		  0.981950		  0.989364		  0.999968		  1.000000		  0.999973		  1.000000
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.260159		  0.984617		  0.990762		  0.999623		  0.999679		  0.999908		  1.000000
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.256973		  0.988363		  0.993059		  0.999964		  1.000000		  0.999913		  1.000000
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.255798		  0.989903		  0.994152		  0.999999		  1.000000		  0.999995		  1.000000
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.254596		  0.991261		  0.995019		  0.999985		  1.000000		  0.999988		  1.000000
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.253807		  0.992153		  0.995678		  0.999747		  1.000000		  0.999938		  1.000000
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.252250		  0.994047		  0.996883		  1.000000		  1.000000		  1.000000		  1.000000
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.251645		  0.994707		  0.997220		  1.000000		  1.000000		  1.000000		  1.000000
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.251129		  0.995302		  0.997510		  0.999999		  1.000000		  1.000000		  1.000000
